genre,Qu,Gr,Vi,Ro,Sa,Gl,Rx,Cl,Lu,GÃ«,Et,Ti
Acapella,6,5,6,5,,,,,,,,
Acoustic,4.75,4,6,5,,,,,,,,
Blues,6.25,,7,6,,,,,,,,
Chanson,5.75,7,7,4,,,,,,4,,
Classique,6,6,5,5,,,,,,,,
Country,5,4.5,5,5,,,,,,,,
Dance,6,,5,6,,,,,,,,
Disco,7.5,,6,6,,,,,,,,
Electro,5,,6.24,6,,,,,,,,
Folk,5.25,5,5,6,,,,,,,,
Funk,7.5,,7,4,,,,,,,,
Hip-Hop,3.5,,7,4,,,,,,,,
Jazz,6.75,,7,6,,,,,,,,
Metal,6.75,,3,7,,,,,,,,
Musical,5,,5,5,,,,,,,,
,,,,,,,,,,,,
Pop,6,6.5,7,6,,,,,,,,
R&B,6.5,,5,6,,,,,,,,
Reggae,4.5,4,6,6,,,,,,,,
Rock,7.25,7.5,8.5,6.5,,,,,,,,7.5